title,game_url,active,visits,creator,universe_id,checked_at_utc
SKI (ALPHA),https://www.roblox.com/games/92722005168254/,367,83467,SKΙ,10764640833,2026-09-20 22:29
🧟 ZOMBIE BASE SURVIVAL 🛡️,https://www.roblox.com/games/122691391861348/,366,457092,KingTim Games,10352959937,2026-09-20 22:29
[🔌POWER OUTAGE] Work at a Police Station ,https://www.roblox.com/games/129480152008073/,364,262175,Arion Development,10233011462,2026-09-20 22:29
Egg Upgrade Tree,https://www.roblox.com/games/83506318058022/,364,169541,Billion Eggs,10735530810,2026-09-20 22:29
[4X] +1 Rap per Click,https://www.roblox.com/games/127375292594214/,362,194325,Click and Sing,10632666784,2026-09-20 22:29
2 Player Ice Cream Tycoon 🍦,https://www.roblox.com/games/122498324859761/,360,234693,MSL Games,10763714513,2026-09-20 22:29
Giant Universe Survival (Gate Guardian),https://www.roblox.com/games/85657622941900/,352,209227,Giant Universe Studio,10766696003,2026-09-20 22:29
+1 Flip Roller Escape 🛼,https://www.roblox.com/games/104497158012325/,350,264815,Birb Boiiiiis,10582816280,2026-09-20 22:29
😈 GODMODE,https://www.roblox.com/games/107459755115922/,349,455991,MMH Games,10498532720,2026-09-20 22:29
Veggie Fighters [BETA],https://www.roblox.com/games/99766110753069/,347,269402,Vege Fighters,9596162769,2026-09-20 22:29
Superb Upgrade Tree [UPDATE],https://www.roblox.com/games/103554857427414/,344,93414,Xponents Studios,9658608798,2026-09-20 22:29
ESCAPE PEPE'S GYM OBBY! (OBBY),https://www.roblox.com/games/99475404148278/,342,277790,Migu3lonm,10750297357,2026-09-20 22:29
⛏️ +1 Drill Blocks for animals,https://www.roblox.com/games/136327778829765/,335,419345,+1 Drill,10734982355,2026-09-20 22:29
Street Food Tycoon🌭,https://www.roblox.com/games/123631300512056/,332,91250,VoidXX,10411426475,2026-09-20 22:29
Car Race,https://www.roblox.com/games/126255615926703/,322,422645,NiceGames777,7284984754,2026-09-20 22:29
Rogue Roller,https://www.roblox.com/games/87428815126728/,320,163339,JessDutc,7498609048,2026-09-20 22:29
Spinner Battles,https://www.roblox.com/games/81792193835326/,319,192612,Spinner Battles Community,10764947385,2026-09-20 22:29
Jump For Eggs! 🥚,https://www.roblox.com/games/102706469132943/,314,402479,Ares's Studio,10763565695,2026-09-20 22:29
[👽ALIENS] Be a Snake!,https://www.roblox.com/games/75835725495100/,312,124347,White Noise Games,10765251051,2026-09-20 22:29
💗 MELODY'S PRISON RUN! (Obby),https://www.roblox.com/games/106748792105159/,311,107257,rich mentality,10764268697,2026-09-20 22:29
[✨] Search for the Ring!,https://www.roblox.com/games/87016173484759/,308,163698,2FAT Games,10764364835,2026-09-20 22:29
steal and collect random objects,https://www.roblox.com/games/131309726917016/,306,266972,FUN HOORAY,10326012859,2026-09-20 22:29
🔪 KILLER,https://www.roblox.com/games/100485190931434/,306,283838,MMH Games,10747776778,2026-09-20 22:29
Animal Hospital Outfits [NEW🔥],https://www.roblox.com/games/94278533141769/,305,324373,SweetPancake Studios,10744135685,2026-09-20 22:29
[UPD 1] Run from Monsters,https://www.roblox.com/games/122815847545297/,294,146610,Dredge Works,10765197905,2026-09-20 22:29
MAD CHEFS! 🧑‍🍳,https://www.roblox.com/games/118277822205576/,292,67211,Game Animations,10764796926,2026-09-20 22:29
+1 Gun Per Click,https://www.roblox.com/games/125858736268280/,291,365632,Radiance Simulators,10656387124,2026-09-20 22:29
Sniper VS 99 Players,https://www.roblox.com/games/87757473222892/,290,202125,Clicker House,10765563835,2026-09-20 22:29
Build a Metro Network 🚄,https://www.roblox.com/games/140401701541602/,288,450452,Some Idle Games,10764508634,2026-09-20 22:29
Clean the Magic Shop✨,https://www.roblox.com/games/105960216599302/,287,261727,SnoutUp Games,10497418863,2026-09-20 22:29
Anime Guess Who!,https://www.roblox.com/games/119725120452301/,285,260521,Scookai_67,10272042613,2026-09-20 22:29
💪 +1 Strength to Climb Tower,https://www.roblox.com/games/125724268247425/,285,320134,burg games..,10764847518,2026-09-20 22:29
[FIX] Football WORLD Manager '27,https://www.roblox.com/games/109658217029877/,284,131536,Cino Studios,10764300350,2026-09-20 22:29
+1 Speed Break a Bottle! 💥,https://www.roblox.com/games/137524991497251/,284,454488,LondeeDev,10412392044,2026-09-20 22:29
[X2] +1 Armor Per Click,https://www.roblox.com/games/122836499704920/,281,93419,Shield simulator,8556856448,2026-09-20 22:29
[UPD 1.2] Freddy Incremental🍕,https://www.roblox.com/games/112274915308120/,280,495781,Rowe Interactive,10263767875,2026-09-20 22:29
⚠️ Landing Experiments: Plane Crash Sandbox,https://www.roblox.com/games/97886399571757/,279,424923,Black Eagle Industries,9549894418,2026-09-20 22:29
WebSpace,https://www.roblox.com/games/140371557249121/,275,350357,_trial,10721343225,2026-09-20 22:29
+1 Dig Sand Adventure,https://www.roblox.com/games/95566393546642/,273,210220,+1 For all!,10765308082,2026-09-20 22:29
[Endless] Nook Loot 👀,https://www.roblox.com/games/113188126495569/,273,305939,fun8848,10713514165,2026-09-20 22:29
🐰 BUNNY,https://www.roblox.com/games/104027891522729/,272,74347,MMH Productions,10632398832,2026-09-20 22:29
Train a Fish Fighter 🐟 PVP!,https://www.roblox.com/games/135318247691553/,269,198375,another fish studio,10680132879,2026-09-20 22:29
[🎲] Game Of Life [🐛BUG FIXES],https://www.roblox.com/games/129015045985660/,268,335170,crunchycow09,9945152525,2026-09-20 22:29
[W3] +1 Aim Per Click,https://www.roblox.com/games/70990741130622/,268,173772,Dxr Studio,10637618088,2026-09-20 22:29
[🎲UPD2] Heat Incremental,https://www.roblox.com/games/114615357758356/,266,145298,budsix,10611067088,2026-09-20 22:29
[FIXING] Play Action ,https://www.roblox.com/games/97982044967416/,258,63865,Play Action Community,10459519123,2026-09-20 22:29
[RNG] My Chiikawa Farm 🎲,https://www.roblox.com/games/128789490132641/,255,246971,JamByte Games,9992188015,2026-09-20 22:29
Cards Matching 🃏,https://www.roblox.com/games/123144130909283/,246,432793,Paws Headquarters,10764296404,2026-09-20 22:29
Void Upgrade Tree 0.1,https://www.roblox.com/games/115947874038028/,246,45786,Buh Deez,10155871550,2026-09-20 22:29
Brick Collectors [82],https://www.roblox.com/games/131159351966135/,245,332975,blackspier1231,10533257965,2026-09-20 22:29
+1 Animal Strength 🐻,https://www.roblox.com/games/123687359446192/,243,388963,Mauv +1,10498591475,2026-09-20 22:29
[🏠] My House!,https://www.roblox.com/games/78404159868486/,240,495172,Onion Chopping,10355252664,2026-09-20 22:29
Team Hello Kitty House Escape! (OBBY),https://www.roblox.com/games/108538996465328/,238,202785,Falls Creations,10642960977,2026-09-20 22:29
Sell Burgers,https://www.roblox.com/games/86247005360203/,237,299677,Own a Burger Joint,10589369349,2026-09-20 22:29
[HUGE UPDATE + NEW ZONE] BSS 1:1 REBIRTHS,https://www.roblox.com/games/106845315664245/,235,57459,yawning ヅ,10766748763,2026-09-20 22:29
Dead-Line,https://www.roblox.com/games/111228559342766/,235,364443,Blocky Riders,10761394735,2026-09-20 22:29
[NEW] ⚽ Kick Ball to Infinity!,https://www.roblox.com/games/79858618234925/,231,72036,ShagMax Games,10762297162,2026-09-20 22:29
Tank Wars!,https://www.roblox.com/games/84982656700856/,230,118636,Combat Studs,10375908307,2026-09-20 22:29
they chroma game,https://www.roblox.com/games/123542747120959/,230,371691,Murder Mystery L Studios,10335128100,2026-09-20 22:29
 [🌸UPD 1] Fish an EGG from Rivers,https://www.roblox.com/games/101672855717389/,229,343431,SpX BrainStudios,10033692849,2026-09-20 22:29
+1 Blade Swing Escape,https://www.roblox.com/games/128817582990036/,229,418938,+1 Blade Escape,10550640221,2026-09-20 22:29
Run to Steal Animals!,https://www.roblox.com/games/119423923767111/,229,178124,Florover,10765051304,2026-09-20 22:29
🥚 EGG LUCKY BLOCKS + ADMIN,https://www.roblox.com/games/102356614470146/,228,241631,I WILL ALWAYS WIN,10765198702,2026-09-20 22:29
BitShippuden [☄️OTSUTSUKI],https://www.roblox.com/games/132913900800897/,226,204016,The FoxStudios,10737040711,2026-09-20 22:29
[UPD] +1 Wallrun Obby Escape,https://www.roblox.com/games/111731074208795/,225,259558,1001%,10739103116,2026-09-20 22:29
[DRONES] Missile Commander,https://www.roblox.com/games/81609046872806/,224,289786,naser_q8e,10748070276,2026-09-20 22:29
Sell Basketballs and Prove Mom Wrong,https://www.roblox.com/games/71494288433026/,222,274439,Gundami,7738865136,2026-09-20 22:29
Avatar Creator,https://www.roblox.com/games/136656968143195/,219,161843,Toebuu's,10765281597,2026-09-20 22:29
[Update 10 🔥] Chaos Fruits,https://www.roblox.com/games/132044122002338/,216,322678,District_,10639043831,2026-09-20 22:29
[ 🎭Update 9✨] Rise Piece,https://www.roblox.com/games/116601019173178/,214,363647,Rise House,10272149696,2026-09-20 22:29
Kids' School ,https://www.roblox.com/games/79690946841769/,213,492227,Escola dos Crias,10470942315,2026-09-20 22:29
[🧲] +1 Magnet Per Step,https://www.roblox.com/games/87759688212417/,213,249331,Very Artistic Games,10761002471,2026-09-20 22:29
My Gas Station Empire,https://www.roblox.com/games/133271712539359/,205,127604,Infinity Seekers Studio,10626060233,2026-09-20 22:29
[🏈COLLEGE!] Football Incremental,https://www.roblox.com/games/93781844575995/,203,466197,Sports Association of ROBLOX,10039065382,2026-09-20 22:29
[NEW] Beast RNG,https://www.roblox.com/games/126341335600945/,202,129417,Monster Flame Studios,10735918701,2026-09-20 22:29
DRILL!,https://www.roblox.com/games/87666386499308/,201,207662,Bit Wizards,10432306578,2026-09-20 22:29
+1 Jump Keyboard Escape | Candy & Choc,https://www.roblox.com/games/100011138344202/,200,195026,Clicky Experiences,10750518495,2026-09-20 22:29
Weather Sandbox,https://www.roblox.com/games/70412932199344/,200,45254,Beyond Average,10747920845,2026-09-20 22:29
[BUG FIXES] BitLock,https://www.roblox.com/games/136210654647820/,199,128773,8dxtcp,10344912608,2026-09-20 22:29
[PETS] Defend the Spinner!,https://www.roblox.com/games/105715285711310/,198,44353,Fun Random Games!,10750972393,2026-09-20 22:29
🟣 [UPDATE] BET+ ,https://www.roblox.com/games/72856794871327/,198,495425,BET+,10522185340,2026-09-20 22:29
Shuffle an Egg,https://www.roblox.com/games/79226825467411/,197,100378,xFrozen x Cube,10765279487,2026-09-20 22:29
[🔥NEW] Dice Rolling Incremental 2!,https://www.roblox.com/games/71650397935872/,194,89935,Logical StudiosTM,10677805895,2026-09-20 22:29
[🏈] Road to Glory,https://www.roblox.com/games/120458890713784/,194,207368,Road to Glory: College Football,10124403207,2026-09-20 22:29
My Gym Empire! 💪 [NEW!],https://www.roblox.com/games/123631250859596/,193,66530,Coalstone Games,10764888650,2026-09-20 22:29
Five TD's (Early Access),https://www.roblox.com/games/119232593159524/,192,398732,bonnietrap127,8787792657,2026-09-20 22:29
🔮 PSYCHIC,https://www.roblox.com/games/107690999914187/,188,49208,MMH Productions,10632469095,2026-09-20 22:29
+1 Break Wall For Loot,https://www.roblox.com/games/71637325608812/,186,77472,LONE SIGIL,10764114584,2026-09-20 22:29
Tank Thunder: Air Support [BETA],https://www.roblox.com/games/98939963282927/,185,204237,Tank Thunder Group,10049843627,2026-09-20 22:29
7 Days Cat-Sitting,https://www.roblox.com/games/116802325837172/,183,43749,HELP ME PLEASE studios,10766506199,2026-09-20 22:29
Climb Hungry Worm Tower,https://www.roblox.com/games/86900967076097/,182,397635,脱出モンスタ ゲ ム,10758600104,2026-09-20 22:29
Paint a House,https://www.roblox.com/games/118564698121472/,178,147777,The _Cookies,10764404426,2026-09-20 22:29
Base vs Zombie,https://www.roblox.com/games/99973164493667/,178,210762,Sorbet Games,8811052020,2026-09-20 22:29
Cat Burglars,https://www.roblox.com/games/76940102559543/,175,83880,Just Steal It!,10766398868,2026-09-20 22:29
Hoop Nation🏀 [UPDATE],https://www.roblox.com/games/137172074753725/,173,349608,Hoop Nation 1,10034841611,2026-09-20 22:29
SUNSCAR: Factory Tycoon [PATCH 2.2.2],https://www.roblox.com/games/123202927583023/,173,133787,LonelyGameDev,10669288991,2026-09-20 22:29
Anime Go! 🍀,https://www.roblox.com/games/73524937852279/,171,131480,Animego Inc.,10629734801,2026-09-20 22:29
Clean the Chaos Mansions,https://www.roblox.com/games/118879656071139/,169,77644,Brain Melt Lab,10765633110,2026-09-20 22:29
🔥 EGG TYCOON: INFINITE ADMIN MODDEDS!,https://www.roblox.com/games/116761496969508/,169,199859,I WILL ALWAYS WIN,10765198762,2026-09-20 22:29
A Realm of Kings,https://www.roblox.com/games/137955788623780/,168,264136,A Realm of Kings,9139383239,2026-09-20 22:29
Twixxel's Stalkers RolePlay by fas!,https://www.roblox.com/games/98717599287953/,168,457296,Breath of the Bunker DEV,10735713482,2026-09-20 22:29
Harrison County,https://www.roblox.com/games/10659924817/,166,294571,Hаrrison County,3864041377,2026-09-20 22:29
